ft,bt,transmission,ownerNo,oem,model,modelYear,price,Fuel Type,Seats,Kms Driven,Transmission,Mileage
Diesel,SUV,Automatic,1,Kia,Kia Seltos,2022,19.0,Diesel,5,10000,Automatic,18.0
Petrol,SUV,Manual,2,Hyundai,Hyundai Creta,2016,7.62,Petrol,5,57437,Manual,15.29
Petrol,SUV,Automatic,1,Mercedes-Benz,Mercedes-Benz GLC,2020,56.0,Petrol,5,8000,Automatic,12.74
Petrol,Hatchback,Manual,2,Maruti,Maruti Swift,2018,5.23,Petrol,5,28151,Manual,22.38
Petrol,SUV,Manual,1,Hyundai,Hyundai Creta,2017,7.65,Petrol,5,60000,Manual,15.29
Petrol,SUV,Manual,1,Kia,Kia Sonet,2021,8.95,Petrol,5,20000,Manual,18.4
Cng,Sedan,Manual,1,Hyundai,Hyundai Aura,2021,7.08,CNG,5,42682,Manual,28.0
Petrol,Hatchback,Manual,1,Volkswagen,Volkswagen Polo,2017,4.0,Petrol,5,44653,Manual,18.78
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2019,6.63,Petrol,5,67823,Manual,21.01
Petrol,Hatchback,Automatic,1,Honda,Honda Brio,2014,3.9,Petrol,5,50000,Automatic,16.5
Diesel,SUV,Manual,1,Nissan,Nissan Kicks,2019,7.84,Diesel,5,97055,Manual,20.45
Petrol,Sedan,Automatic,1,Toyota,Toyota Camry,2017,21.0,Petrol,5,114000,Automatic,19.16
Diesel,Sedan,Automatic,1,BMW,BMW 5 Series,2016,23.5,Diesel,5,30000,Automatic,18.12
Petrol,MUV,Manual,1,Toyota,Toyota Innova Crysta,2022,22.5,Petrol,7,7000,Manual,8.0
Diesel,SUV,Automatic,1,MG,MG Gloster,2021,35.0,Diesel,7,34000,Automatic,12.4
Diesel,SUV,Automatic,1,BMW,BMW X1,2013,9.0,Diesel,5,29000,Automatic,17.05
Petrol,SUV,Automatic,1,Mercedes-Benz,Mercedes-Benz GLC,2020,52.45,Petrol,5,38000,Automatic,12.74
Diesel,SUV,Manual,1,Tata,Tata Safari Storme,2013,3.5,Diesel,7,150000,Manual,14.0
Diesel,SUV,Manual,1,Hyundai,Hyundai Venue,2019,8.39,Diesel,5,83329,Manual,23.7
Petrol,Hatchback,Manual,1,Maruti,Maruti Zen Estilo,2008,1.2,Petrol,5,43000,Manual,18.2
Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10 Nios,2022,7.5,Petrol,5,8000,Manual,20.7
Petrol,SUV,Automatic,1,Skoda,Skoda Kushaq,2021,12.84,Petrol,5,11404,Automatic,17.2
Petrol,SUV,Manual,2,Hyundai,Hyundai Creta,2019,8.5,Petrol,5,70000,Manual,13.0
Diesel,Hatchback,Manual,1,Tata,Tata Altroz,2023,8.7,Diesel,5,23000,Manual,23.64
Petrol,Hatchback,Manual,1,Maruti,Maruti Ignis,2022,6.34,Petrol,5,19044,Manual,20.89
Petrol,Sedan,Automatic,1,BMW,BMW 7 Series,2017,75.0,Petrol,5,23500,Automatic,12.5
Petrol,SUV,Manual,1,Hyundai,Hyundai Creta,2019,12.5,Petrol,5,17367,Manual,15.8
Diesel,SUV,Manual,1,Kia,Kia Seltos,2020,13.25,Diesel,5,3800,Manual,20.8
Petrol,Sedan,Automatic,1,BMW,BMW 3 Series GT,2017,32.15,Petrol,5,45000,Automatic,15.34
Petrol,Hatchback,Automatic,2,Hyundai,Hyundai Grand i10,2014,4.21,Petrol,5,43124,Automatic,18.9
Diesel,SUV,Manual,1,Mahindra,Mahindra XUV500,2020,13.0,Diesel,7,20000,Manual,15.1
Diesel,SUV,Automatic,1,Hyundai,Hyundai Creta,2017,10.0,Diesel,5,60000,Automatic,17.01
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2018,6.0,Petrol,5,36000,Manual,21.01
Petrol,Hatchback,Automatic,1,Hyundai,Hyundai Grand i10,2015,4.95,Petrol,5,44559,Automatic,18.9
Petrol,SUV,Manual,1,MG,MG Hector Plus,2022,20.5,Petrol,6,10000,Manual,14.025
Petrol,Hatchback,Manual,1,Tata,Tata Altroz,2021,6.27,Petrol,5,37587,Manual,19.33
Petrol,Sedan,Manual,1,Honda,Honda Amaze,2016,3.4,Petrol,5,90000,Manual,17.8
Petrol,Hatchback,Manual,1,Hyundai,Hyundai i10,2010,1.9,Petrol,5,73786,Manual,20.36
Petrol,Sedan,Automatic,1,Toyota,Toyota Corolla Altis,2009,3.0,Petrol,5,50000,Automatic,14.53
Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,2018,5.75,Petrol,5,22000,Manual,21.21
Petrol,Hatchback,Automatic,1,Maruti,Maruti Baleno,2019,7.43,Petrol,5,38103,Automatic,19.56
Petrol,Hatchback,Manual,1,Maruti,Maruti Ignis,2022,6.45,Petrol,5,15000,Manual,20.89
Diesel,MUV,Automatic,1,Toyota,Toyota Innova Crysta,2018,17.0,Diesel,7,69000,Automatic,11.36
