ft,bt,transmission,price,Seats,Mileage,city
Petrol,Hatchback,Manual,4.0,5,23.1,bangalore
Petrol,SUV,Manual,8.11,5,17.0,bangalore
Petrol,Hatchback,Manual,5.85,5,23.84,bangalore
Petrol,Sedan,Manual,4.62,5,19.1,bangalore
Diesel,SUV,Manual,7.9,5,23.65,bangalore
Diesel,SUV,Manual,19.0,5,17.1,bangalore
Petrol,Hatchback,Manual,3.45,5,20.63,bangalore
Petrol,SUV,Automatic,12.0,5,18.15,bangalore
Petrol,Sedan,Automatic,9.6,5,20.28,bangalore
Petrol,Hatchback,Manual,5.85,5,23.84,bangalore
Petrol,Hatchback,Manual,6.9,5,21.4,bangalore
Petrol,Hatchback,Automatic,6.82,5,18.9,bangalore
Petrol,Hatchback,Automatic,8.25,5,18.2,bangalore
Petrol,Hatchback,Automatic,5.95,5,23.84,bangalore
Diesel,SUV,Manual,6.9,7,15.1,bangalore
Diesel,SUV,Manual,13.5,5,17.1,bangalore
Diesel,SUV,Automatic,55.95,5,17.4,bangalore
Diesel,Hatchback,Manual,5.21,5,21.27,bangalore
Petrol,SUV,Manual,10.05,5,17.33,bangalore
Petrol,Sedan,Manual,7.75,5,17.8,bangalore
Diesel,Sedan,Automatic,22.0,5,18.48,bangalore
Petrol,Hatchback,Manual,5.82,5,22.38,bangalore
Petrol,SUV,Manual,10.9,5,16.42,bangalore
Petrol,Hatchback,Manual,4.57,5,23.84,bangalore
Petrol,Sedan,Automatic,49.0,5,7.81,bangalore
Petrol,Sedan,Manual,5.5,5,17.4,bangalore
Petrol,Hatchback,Automatic,5.7,5,20.3,bangalore
Petrol,Sedan,Automatic,41.45,5,15.0,bangalore
Diesel,SUV,Manual,8.61,7,15.1,bangalore
Diesel,Sedan,Automatic,17.85,5,17.11,bangalore
Diesel,SUV,Manual,8.03,7,15.1,bangalore
Diesel,SUV,Manual,25.65,5,17.1,bangalore
Petrol,Sedan,Manual,6.74,5,20.14,bangalore
Petrol,Hatchback,Manual,3.49,5,20.51,bangalore
Petrol,MUV,Manual,10.5,7,19.34,bangalore
Diesel,Sedan,Automatic,44.25,5,12.6,bangalore
Petrol,Hatchback,Manual,4.06,5,20.51,bangalore
Petrol,Sedan,Automatic,49.65,5,15.56,bangalore
Diesel,SUV,Manual,11.0,7,11.5,bangalore
Diesel,SUV,Automatic,11.0,5,19.87,bangalore
Petrol,Hatchback,Manual,5.94,5,18.6,bangalore
Diesel,Hatchback,Manual,7.1,5,22.54,bangalore
Petrol,Hatchback,Manual,6.92,5,21.4,bangalore
Petrol,Sedan,Manual,6.5,5,16.3,bangalore
Diesel,Sedan,Automatic,20.9,5,18.53,bangalore
Petrol,Hatchback,Manual,4.11,5,22.05,bangalore
Diesel,SUV,Manual,6.5,7,12.05,bangalore
Petrol,Hatchback,Automatic,36.75,4,17.33,bangalore
Petrol,Hatchback,Manual,6.1,5,23.84,bangalore
Petrol,SUV,Automatic,16.75,5,16.5,bangalore
Petrol,Hatchback,Manual,5.3,5,23.84,bangalore
Petrol,Hatchback,Manual,2.5,5,19.7,bangalore
Petrol,Hatchback,Manual,7.15,5,18.6,bangalore
Diesel,SUV,Automatic,35.0,7,11.3,bangalore
Diesel,SUV,Automatic,22.5,6,14.08,bangalore
Petrol,Hatchback,Manual,6.25,5,18.9,bangalore
Diesel,SUV,Automatic,26.95,7,12.07,bangalore
Diesel,SUV,Manual,6.5,8,12.05,bangalore
Petrol,Hatchback,Automatic,5.5,5,22.0,bangalore
Diesel,SUV,Manual,8.25,5,21.5,bangalore
Petrol,Hatchback,Manual,2.2,5,15.3,bangalore
Petrol,Hatchback,Automatic,4.28,5,26.68,bangalore
Diesel,Sedan,Manual,6.95,5,21.14,bangalore
Petrol,SUV,Manual,9.3,5,15.9,bangalore
Petrol,Hatchback,Manual,4.55,5,22.05,bangalore
Diesel,SUV,Manual,11.95,5,19.67,bangalore
